id,english,language,pronunciation,description,category,type,image
1024,become red (e.g. of eyes with anger),jalngarribi,,,,intransitive,
1025,cameron hill,jalnggiyiir,,,,noun,
1026,grub in gum tree (different from gaban),jalnggunmu,,,,noun,
1027,talk in jalnguy),jalngunyjibi,,,,intransitive,
1028,(com: jalnguny-ji ) avoidance style of speech,jalnguy,,,,n.II,
1029,talk in jalnguy),jalnguybi,,,,intransitive,
1030,cashmere (where alf palmer was brought up),jalnyjanbara,,,,noun,
1031,tiger mountain,jalugan,,,,noun,
1032,tiger mountain ,jaluganji,,,,noun,
1033,short speear,jalun,,,,noun,
1034,web,jamar,,,,noun,
1035,spider web,jamara,,,,noun,
1036,"cover up, block up (e.g. windpipe)",jamba,,,,transitive,
1037,any snake,jambal,,,,noun,
1038,dew,jambar,,,,noun,
1039,(jalnguy) dew,jambara,,,,noun,
1040,"fighting stick, killing stick, nullanulla",jambarra,,,,noun,
1041,woman about 40 or 50 years old,jambi,,,,noun,
1042,"old woman about 80 years old, old woman of long ago as old as gan.gaymu",jambiba,,,,noun,
1043,fat,jambibaya,,,,adjective,
1044,"(1) witchetty grub, big, edible, lives in dood in scrub, (2) a grub in a stage of its growth in which it is a grown up. CF. wirr, gumbala",jambun,,,,noun,
1045,fat,jami,,,,noun,
1046,fat,jamibara,,,,adjective,
1047,be/become fat,jamibayabi,,,,intransitive,
1048,bushy country on herbert river,jamiljamil,,,,noun,
1049,"just, with no reason or purpose ",jamu,,,,adverb,
1050,emphasis ??, =jan,,,,cli,
1051,they three or more,jana,,,,pronoun,
1052,"(1) stand (up), stay, wait, (2) be open (of mouth, etc.)",jana,,,,intransitive,
1053,stand about,jananda,,,,intransitive,
1054,stand about (with a plural subject),janara,,,,intransitive,
1055,"stand up, look after, mind, keep",janari,,,,transitive,
1056,stand up ,janaya,,,,intransitive,
1057,wade [a river or the sea],janda,,,,intransitive,
1058,wade??,jandaya,,,,intransitive,
1059,"slow, slowly",jan.ga,,,,adjective,
1060,"(jalnguy) (1) tail, (2) (big, dead) jumbi (penis)",jan.gabara,,,,noun,
1061,honey comb (wax with honey inside),jangal,,,,noun,
1062,name of a song,jangala,,,,noun,
1063,small,jangara,,,,adjective,
1064,small (e.g. child),jangaragu,,,,adjective,
1065,be/become small,jangaragubi,,,,intransitive,
1066,small woman,jangaragun,,,,noun,
1067,make small,jangaragunga,,,,transitive,
1068,stranger,janggal,,,,noun,
1069,"(1) half, from 1/2 to 3/4, (2) short bloke",janu,,,,noun,
1070,another half ,januguman,,,,noun,
1071,(jalnguy) short,janujala,,,,adjective,
1072,make short ,janujalanga,,,,transitive,
1073,cut into halves or quarters,janunga,,,,transitive,
1074,wake up (someone by touching him/her in order to inform him/her of somthing),janyi,,,,transitive,
1075,grass basket,janyju,,,,noun,
1076,frost (or froth?),jara,,,,noun,
1077,be or become froth,jarabi,,,,intransitive,
1078,"(song word, jalnguy ?) bed for carrying a dead body",jararra,,,,noun,
1079,(1) fresh water dew fish (2) catfish,jarban,,,,noun,
1080,"put [somthing] in, plant [tree], (2) vi.1 go in/ enter",jarga,,,,transitive,
1081,take in,jargamba,,,,transitive,
1082,I(instumental verb) put... in... ,jargari,,,,transitive,
1083,(not reciprocal) go in,jargawa,,,,intransitive,
1084,wommera,jarila,,,,noun,
1085,(1) wommera (2) adams apple,jarin,,,,noun,
1086,"thigh, upper leg",jarra,,,,noun,
1087,"(not warrungu, but jirrbal) stand up (a fence)",jarra,,,,transitive,
1088,crippled,jarra-ngamba,,,,adjective,
1089,leg dance (dance where the dancer moves his feet very fast),jarra-nyamba,,,,intransitive,
1090,feel better,jarrabiribi,,,,intransitive,
1091,go closer,jarrabirribi,,,,intransitive,
1092,two (suffix), -jarran,,,,derivational suffix,
1093,stranger (not warrungu),jarrany,,,,noun,
1094,"good, well, pretty, smart, straight (of marriage)",jarribara,,,,adjective,
1095,"be/become well, good, get well, be good (to someone)",jarribarabi,,,,intransitive,
1096,"make good, fix up, do in a good way, be nice to [someone in the accusative]",jarribaranga,,,,transitive,
1097,wommera,jarrin or jarin,,,,noun,
1098,(not warrungu) egg of a scrub turkey) ,jarrugan,,,,noun,
1099,trousers,jarruja,,,,noun,
1100,"mouth, lip",jawa,,,,noun,
1101,vomit,jawa,,,,intransitive,
1102,round up (with a net),jawa,,,,transitive,
1103,"(erg: jawulany-ju) (jalnguy?) two, sisters, they-two",jawulay,,,,n.II,
1104,(not warrungu but costal) middle-sized dilly bag,jawun,,,,noun,
1105,"(erg:jawu-ju) (also class 11, loc: jawunyja??) hot",jawuy,,,,adjective,
1106,be/become hot,jawuybi,,,,intransitive,
1107,make hot,jawuynga,,,,transitive,
1108,horse,jayari,,,,noun,
1109,hunt [a person] away,jayga,,,,transitive,
1110,find,jaymba,,,,transitive,
1111,"last one, outside one",jaymbal,,,,noun,
1112,(reciprocal) meet eachother/ one another,jaymbawa,,,,transitive,
1113,to/toward the person(s) concerned ??,jaymbay,,,,adverb,
1114,come closer to the speaker ?),jaymbaybi,,,,intransitive,
1115,give or send (to the sender),jaymbaynga,,,,intransitive,
1116,to you,jaybayngal,,,,adverb,
1117,have sexual intercourse with [someone],jaynyja,,,,transitive,
1118,someone who like to have or habitually has intercourse ,jaynyjalmunga,,,,noun,
1119,(instumental verb)have intercourse with ... in return for... ,jaynyjari,,,,transitive,
1120,(reciprocal) have intercourse with each other,jaynyjawa,,,,intransitive,
1121,"liver, lung",jiba,,,,noun,
1122,womb,jibanjiban,,,,noun,
1123,bald,jibara,,,,adjective,
1124,in the morning,jidada,,,,adverb,
1125,it become morning (with a human subject),jidadabi,,,,intransitive,
1126,the next morning (in the past),jidadaguman,,,,noun,
1127,morning,jidal,,,,noun,
1128,it become morning (with a human subject),jidalgubi,,,,intransitive,
1129,jew fish,jidawulu,,,,noun,
1130,"grey hawk, kite hawk",jidi,,,,noun,
1131,"torch, yellow tree in the scrub use for torch",jidu,,,,noun,
1132,(1) willy wag wail) (type of bird) (2) place on upper herbert river,jigirrjigirr,,,,noun,
1133,shooting star,jigubina,,,,noun,
1134,"to be/become a shooting star, describing a man who is getting married",jigubinabi,,,,intransitive,
1135,place not far from bungurrji,jigurru,,,,noun,
1136,native cat,jiguy,,,,noun,
1137,wax,jija,,,,noun,
1138,tommy round head (type of lizar),jijan,,,,noun,
1139,sore,jiji,,,,noun,
1140,poke' [a woman],jijimarrga,,,,transitive,
1141,little bird like a king fisher or a jackass ,jijuluruy,,,,noun,
1142,fig tree,jilanggu,,,,noun,
1143,(acc: jilanggu-nya) woman' name (in myth),jilanggu,,,,noun,
1144,knowing,jilbajiba,,,,adjective,
1145,erg: jilba-ju?) knowing,jilbay,,,,adjective,
1146,knowing very well,jilbaybara,,,,"noun, adjective",
1147,"know, get to know, learn",jilbaybi,,,,intransitive,
1148,"make [someone] knowing, teach, inform",jilbaynga,,,,transitive,
1149,eye,jili,,,,noun,
1150,look at',jili guyba,,,,transitive,
1151,"(1) show, teach, (2)look over, look up",jili-ngungbaynga,,,,transitive,
1152,be awake',jili nyina,,,,intransitive,
1153,be awake',jili wuna,,,,intransitive,
1154,"open eyes, wake up",jilibi,,,,intransitive,
1155,charcoal,jilin,,,,noun,
1156,become charcoal ,jilinbi,,,,intransitive,
1157,whistler duck (black one),jiljilbarra,,,,noun,
1158,"cramp, numbness)",jilmal,,,,noun,
1159,have a cramp or numbness,jilmaljilmalbi,,,,intransitive,
1160,"throw, water",jilngga,,,,transitive,
1161,kick,jilwa,,,,transitive,
1162,kick eachother/ one another,jilwawa,,,,intransitive,
1163,"fire stick, a type of tree used for fire stick",jiman,,,,noun,
1164,throwing stick,jimbaru,,,,noun,
1165,fighting stick or club with a round head,jimijimi,,,,noun,
1166,"mark (on a message stick), letter",jin.gurr,,,,noun,
1167,"foot print or track one the ground or sand (but not grass, cf. bulgar)",jina,,,,noun,
1168,man's name (one of alf palmers sons: morris palmer),jinabarru,,,,noun,
1169,footwear,jinaman,,,,noun,
1170,"cramp, numbness)",jinambarra,,,,noun,
1171,(big) root,jinarri,,,,noun,
1172,(erg: jinbilnggany-ju) alf palmers name,jinbilnggay,,,,n.II,
1173,place on herbert river near cashmere,jindarigan,,,,noun,
1174,"breast (a woman's breast, also a mans breast)",jindi,,,,noun,
1175,"punch (with fist, with a stone)",jingga,,,,transitive,
1176,(instumentalverb) hit... with...,jinggari,,,,transitive,
1177,punch each other one another,jinggawa,,,,intransitive,
1178,"body hair, fur",jinggu,,,,noun,
1179,"hairy being( of human beings, dogs, etc.)",jinggurrgal,,,,noun,
1180,"snore, sneeze (generally used with the comitative suffix: jingurra-yi)",jingurra,,,,noun,
1181,"snore, sneeze  ",jingurrajingurrabi,,,,intransitive,
1182,"sneeze, snore",jingurrayijingurrayibi,,,,intransitive,
1183,place on herbert river near ravenshoe,jinji,,,,noun,
1184,chip,jinma,,,,transitive,
1185,semen,jirga,,,,noun,
1186,quail (type of bird),jiribi,,,,noun,
1187,a language/ tribe northwest or warrungu,jirrbal,,,,noun,
1188,tail (of fish only),jirri,,,,noun,
1189,butcher bird,jirrijinduru,,,,noun,
1190,pubic hair,jirril ,,,,noun,
1191,namesake,jirrwi,,,,noun,
1192,pubic hair (= jirril,jiwurral,,,,noun,
1193,mountain oak,jiwurru,,,,noun,
1194,back part of a spear,Juba,,,,noun,
1195,"rub, wipe, stroke, chafe",jubi,,,,transitive,
1196,(instumental verb) rub... with... ,jubiri,,,,transitive,
1197,penis (only in erection),jubul,,,,noun,
1198,wild flour' on a black pine,jubula,,,,noun,
1199,"big-sized dilly-bag (cf. jimay, jawun)",juda,,,,noun,
1200,a bushy country on herbert river,judajuda,,,,noun,
1201,type of frog (jumps alot),judi,,,,noun,
1202,place on herbert river near herberton in the scrub,judirri,,,,noun,
1203,smoke,juga,,,,noun,
1204,grow up (vi.1 / Vt.1),juga,,,,intransitive,
1205,dip (a billy can int the water to get water),juga,,,,transitive,
1206,big cloud,jugabaya,,,,noun,
1207,a place a couple mile away from cashmere,jugaburra,,,,noun,
1208,stright (e.g. road),jugal,,,,adjective,
1209,grow up (vi.1 / Vt.1),jugalbi,,,,intransitive,
1210,grow up (vi.1 / Vt.1),jugali,,,,intransitive,
1211,point a finger at [someone],jugalmba,,,,transitive,
1212,grow up   ,jugamba,,,,transitive,
1213,make smoke or make smoky ,juganga,,,,transitive,
1214,meaning uncertain ,jugulabi,,,,intransitive,
1215,"make.. rustle, double up",jugulanga,,,,transitive,
1216,locust (big one or middle-sized one,jujam,,,,noun,
1217,water (not warrungu?),jujamu,,,,noun,
1218,urine,jujarr,,,,noun,
1219,urine,jujarra,,,,noun,
1220,wet with urine all over,jujarrabarri,,,,adjective,
1221,meaning unknown,jujirri,,,,adverb,
1222,navel,jujur,,,,noun,
1223,be drowned,jujurra,,,,intransitive,
1224,be drowned,jujurri,,,,intransitive,
1225,belly full (com suff (yi),jujuyi,,,,adjective,
1226,scrub possum,jula,,,,noun,
1227,"stick, firewood, small tree",jula,,,,noun,
1228,crayfish (not warrungu),jularr,,,,noun,
1229,tree,julay,,,,n.II,
1230,one tree plain (place on herbert river),julaynyun.gul,,,,noun,
1231,jump,julba,,,,intransitive,
1232,bury,julbamba,,,,transitive,
1233,bury,julbanga,,,,transitive,
1234,a bushy country on herbert river above chashmere,julbiri,,,,noun,
1235,with no skin (e.g. cooked animal),julbiriny,,,,adjective,
1236,peel the skin of [an animal],julbirinyna,,,,transitive,
1237,married person (maler or female),julbun,,,,noun,
1238,a woman who has run away from her husband,julbun.gan,,,,noun,
1239,a woman who has run away from her husband,julbun.ganji,,,,noun,
1240,get married ,julbunbi,,,,intransitive,
1241,two married men (also women),julbunjarran,,,,noun,
1242,married people (women as well),julbunjulbun,,,,noun,
1243,marry (i.e. make someone marry?),julbunnga,,,,transitive,
1244,beckon (by hand),julga,,,,transitive,
1245,"type of small, white shell in the sea ",julgay,,,,noun,
1246,scrub,julgi,,,,noun,
1247,person(s) in or from the scrub (e.g. babinda),julgibarra,,,,noun,
1248,be/ become scrub,julgibi,,,,intransitive,
1249,"(1) seed, (2) (jalnguy?) any bone",julgil,,,,noun,
1250,scrub,julgimara,,,,noun,
1251,go into a scrub ,julgiwubi,,,,intransitive,
1252,squeeze,julma,,,,transitive,
1253,sleepy lizard (type of lizard),julmbaji,,,,noun,
1254,slippery,julmin,,,,adjective,
1255,(jalnguy?) look at,julnyju,,,,transitive,
1256,look at eachother/ one another,julnyjuwa,,,,intransitive,
1257,"hip, buttocks",julu,,,,noun,
1258,womans name (one of alf palmers's granddaughter),julubu,,,,noun,
1259,with the penis in the woman's private parts,julurr,,,,"noun, adverb",
1260,wommera,jumala,,,,noun,
1261,touch,jumba,,,,transitive,
1262,(1) penis (2) tail,jumbi,,,,noun,
1263,woman who is dying for jumbi,jumbijala,,,,noun,
1264,lucky,jumburu,,,,adjective,
1265,"(1) cattle, bullock, (2) beef ",jumuburu,,,,noun,
1266,narrow,jun.gal,,,,adjective,
1267,make narrow,jun.galnga,,,,transitive,
1268,tail (warrgamay),jun.girin,,,,noun,
1269,tendon,jun.guy,,,,n.II,
1270,jealousy,junda,,,,noun,
1271,kiss,junda,,,,transitive,
1272,(instrumental verb) kiss ... by means of ...,jundari,,,,transitive,
1273,kiss eachother/ one another,jundawa,,,,intransitive,
1274,pademelon (has brushy tail),jundul,,,,noun,
1275,shirt,jungguja,,,,noun,
1276,fresh water flathead,junggurra ,,,,noun,
1277,smell,jungu,,,,noun,
1278,place name,junji,,,,noun,
1279,"a bone fromm a kangaroo leg, used to decorate the human nose ",junju,,,,noun,
1280,squeeze. CF. julma,junma,,,,transitive,
1281,lust,junu,,,,noun,
1282,make [someone] lustful ,jununga,,,,transitive,
1283,black (warrgamay?),junyja,,,,adjective,
1284,"alive (not dead) well, safe",jura,,,,adjective,
1285,white pus from a sore or wound,jura,,,,noun,
1286,"be/become alive, come to life (again)",jurabi,,,,intransitive,
1287,cure,juramba,,,,transitive,
1288,cure,juranga,,,,transitive,
1289,"(1) white ochre, clay or paint, (2) yellow ochre, clay paint",jurba,,,,noun,
1290,dodge,jurba,,,,intransitive,
1291,nearly white (of paint),jurbagaji,,,,adjective,
1292,make white,jurbanga,,,,transitive,
1293,"short one, (shorter then janujala)",jurbay,,,,noun,
1294,elder sister,jurgana,,,,noun,
1295,"bamboo (small), bamboo peg for the nose (for decoration)",jurgu,,,,noun,
1296,bower bird ,jurirrbarra,,,,noun,
1297,cloud,jurra,,,,noun,
1298,"rub, wipe, wipe off, wash off",jurra,,,,transitive,
1299,"a cattle station in niagara (?) district, sext to abergowrie",jurragay,,,,n.i ,
1300,cloudy,jurrajurra,,,,adjective,
1301,knife,jurrbil,,,,noun,
1302,alongside. ? also n side ?,jurri,,,,adverb,
1303,"(1) ridge (on a mountain), (2) upper arm, shoulder",jurru,,,,noun,
1304,sugar bag bee (lives in scrub),jurrugan,,,,noun,
1305,"locust in the scrub, of big type",juwaljuwal,,,,noun,
1306,nephew, son (from the veiwpoint of the mother),juwana,,,,
1307,all my juwana,juwanaguway,,,,noun,
1308,brother-in-law,juway,,,,noun,
1309,term by which brothers-in-law call eachother/on another,juwaynggurru,,,,noun,
1310,stright (e.g. road),juygul,,,,adverb,
1311,be stright,guyguli,,,,intransitive,
1312,marrow,juyi,,,,noun,
1313,suck,juyja,,,,transitive,
1314,crawl,juyma,,,,intransitive,
1315,"slip, crawl (like a snake)",juyura,,,,intransitive,
1316,milky pine ,maba,,,,noun,
1317,tree kangaroo,mabi,,,,noun,
1318,young or good-looking girl,maburra,,,,noun,
1319,mouse (Girramay?),maga,,,,noun,
1320,"false, not true, dishonest",magan,,,,adjective,
1321,"tell a lie, pretend",maganbi,,,,intransitive,
1322,"tell a lie, pretend",magannga,,,,transtive,
1323,small scrub,magarra,,,,noun,
1324,"(1) mountain oak (long, found on the hill, e.g. on atherton tableland), rosewood (of bright colour), (2) the name of a mountain in the tully area",magin,,,,noun,
1325,mountain oak,maginbara,,,,noun,
1326,person(s) of magin,maginbarra,,,,noun,
1327,"red ochre, red paint, yellow ochre",magirra ,,,,noun,
1328,work,magul,,,,noun,
1329,work,maguli,,,,intransitive,
1330,"big carpet snake, bigger the gabul, as long as 15 feet",maguy,,,,noun,
1331,suck,maja,,,,transtive,
1332,"bee wax,honey comb",majagal,,,,noun,
1333,"corck apple tree, poison from its bark",majal,,,,noun,
1334,slow,majay,,,,adverb,
1335,cattle staion on Mt. fox range (stoney Hill ?) ,majibayan,,,,noun,
1336,quiet (person),majun,,,,"noun, adjective",
1337,friend,majuwarrgi,,,,noun,
1338,be/ become friend,majuwarrgibi,,,,intransitive,
1339,box wood (gum top box),malabara,,,,noun,
1340,bangle around the upper arm,malambal,,,,noun,
1341,"(1) creek (little one), (2) rivergum (which grows by the creek)",malan,,,,noun,
1342,arrive at or go into a creek,malan.gubi,,,,intransitive,
1343,"(1) creek (little one), (2) rivergum (big), (3) right hand ",malanbarra,,,,noun,
1344,name of a dance,malba,,,,noun,
1345,"stick, be stuck",malga,,,,intransitive,
1346,name of a song,malgarri,,,,noun,
1347,be/become flat,maljarabi,,,,intransitive,
1348,swallow,mamba,,,,transtive,
1349,"back, back bone",mambu,,,,noun,
1350,with a sore back,mambuyi,,,,adjective,
1351,stone fish-trap,mamu,,,,noun,
1352,language east of jirrbal,mamu,,,,noun,
1353,mouth piece (which aboriginal people use to hold in their mouth while fighting),mamun,,,,noun,
1354,"make a mouth piece , change [something] into a mouth piece",mamunnga,,,,transtive,
1355,an arm ring which a man who has gone through first stage initiation wears ,man.gurru,,,,noun,
1356,mangrove (costal language?),man.gurru,,,,noun,
1357,a place in warrgamay country (its warrungu name),mandagiri,,,,noun,
1358,the warrgamay name of mandagiri (bush country on herbert river in wairuna (?) area),mandagirr,,,,noun,
1359,nothing,mandalbara,,,,noun,
1360,grub in its early stage of growth (it then becomes wirru),mandija,,,,noun,
1361,tooth ache,mandija,,,,noun,
1362,hand or thumb (jalnguy?),mandila,,,,noun,
1363,"young female kangaroo, young kangaroo (both male and female)",mangara,,,,noun,
1364,"(1) flower, (2) poision extracted from fuit of a typee of tree",mangga,,,,noun,
1365,place on herbert river (near stone river),manggala,,,,noun,
1366,having flower,manggayi,,,,adjective,
1367,have flowers (of tree),manggayibi,,,,intransitive,
1368,"sheep, nanny goat (because they look like 'manggi' (monkey)",manggimanggi,,,,noun,
1369,"arm, lower arm, area around the shoulder",manggu,,,,noun,
1370,"flying squirrel, big one",manggurru,,,,noun,
1371,send ,manja,,,,transtive,
1372,deep,manjala or manyjala,,,,adjective,
1373,"neck, throat, windpipe",manu,,,,noun,
1374,"(1) (vegetable) food, fruit, (2) type of poison used for fishing, (3) string",manyja,,,,noun,
1375,"satisfied with food, having food",manyjayi,,,,adjective,
1376,hand.,mara,,,,noun,
1377,(clap hands) 'hand' + 'hit' = clap hands,mara balga,,,,transtive,
1378,shake hands,mara muga-wa,,,,transtive,
1379,adopt [someone] as a step child,mara-gagalnga,,,,transtive,
1380,all the people,maragaru,,,,noun,
1381,"with nothing in the hand, not carrying anything",mara=gul,,,,adverb,
1382,"(1) with nothing in the hand, not carrying anything (2)by onesself, on ones own",mara=guli,,,,adverb,
1383,"the next day, tomorrow ",maraguli,,,,adverb,
1384,a couple of days ago,maragumand-da,,,,adverb,
1385,lazy person,maraguna,,,,noun,
1386,for three weeks greedy person,maragurrbara,,,,adverb,
1387,greedy person,marajalan,,,,noun,
1388,hunting man,maraminya,,,,noun,
1389,"(person who is) very swift when fighting, etc., very good at fighting",maraganyi,,,,"noun, adjective",
1390,"head man of a tribe, cheif, leader (ngarra 'high, up')",marangarra,,,,noun,
1391,scropion,marayigarra,,,,noun,
1392,house fly ,marbal,,,,noun,
1393,"(1) louse, (2) a bushy country on herbert river",marbu,,,,noun,
1394,brother-in-law,marga,,,,noun,
1395,dew,marga,,,,noun,
1396,daughter-in-law,margayan,,,,noun,
1397,aboriginal man,mari,,,,noun,
1398,wet,marinya,,,,adjective,
1399,get wet,marinyabi,,,,intransitive,
1400,make wet,marinyanga,,,,transtive,
1401,"(Jirrbal, Girramay, Warrgamay) leaf",marra,,,,noun,
1402,vine poison,marra,,,,noun,
1403,"tell a lie, pretend",marra,,,,transtive,
1404,place on top os seaview range (or on top of seaview range (or on herbert river?),marrajabarra,,,,noun,
1405,tell  ,marrali,,,,intransitive,
1406,stringy bark,marranu,,,,noun,
1407,tell eachother/ one another,marrawa,,,,intransitive,
1408,thin,marrga,,,,adjective,
1409,a slow leg dance,marrga,,,,noun,
1410,hurt,marrga,,,,transtive,
1411,many,marrgabala,,,,adjective,
1412,clean,marral,,,,adjective,
1413,make clean,marrgalnga,,,,transtive,
1414,young man with no tribal on the belly (too young to marry),marrgara,,,,noun,
1415,thin,marrgi,,,,adjective,
1416,gun,marrgin,,,,noun,
1417,"place on murry river, place on herbert river (near cashmere?)",marrigal,,,,noun,
1418,sore,marrnyja,,,,noun,
1419,"get hurt, hurt oneself",marrnyjabi,,,,intransitive,
1420,hurt,marrnyjanga,,,,transtive,
1421,fresh water shrimp,mawa,,,,noun,
1422,tell,mayga,,,,transtive,
1423,tell by means of ... ,maygari,,,,intransitive,
1424,tell eachother/ one another,maygawa,,,,intransitive,
1425,cut (e.g. wood),mayiga,,,,transtive,
1426,never make a mistake,mayiwanga,,,,transtive,
1427,lighting,mayjala,,,,noun,
1428,rainbow,maynggi,,,,noun,
1429,dirty one (such as buttock or penis,maynyal,,,,noun,
1430,head band,maynyjaru,,,,noun,
1431,belt madeof kangaroo skin,mayurru,,,,noun,
1432,white man,migulu,,,,noun,
1433,white woman,mijiji,,,,noun,
1434,fiancee promised by father-in-law or by mother-in-law,mijirray,,,,noun,
1435,promise,mijirraynga,,,,transitive,
1436,brain,miju,,,,noun,
1437,quick,milmurru,,,,adjective,
1438,do quickly (e.g. dance) ,milmurrubi,,,,intransitive,
1439,oyster,miluy,,,,noun,
1440,be/become weak,mindabi,,,,intransitive,
1441,"round, grass dilly-bag",mindi,,,,noun,
1442,(jalnguy?) carpet snake,mindurru,,,,noun,
1443,female private parts ,minga,,,,noun,
1444,meat,minya,,,,noun,
1445,"lord in the sky, god",minyjiral,,,,noun,
1446,"manure, fertilizer",minyuwa,,,,noun,
1447,"be made, form into [something], be born",mirabi,,,,intransitive,
1448,"(1) swift, (2) swiftly",miramira,,,,"adjective, adverb",
1449,move swiftly,miramirabi,,,,intransitive,
1450,make,miranga,,,,transitive,
1451,"steep hill, bank, cliff, side (of a mountain), etc)",mirgan,,,,noun,
1452,"hilly, steep",mirganmirgan,,,,adjective,
1453,front part of body lap,mirra,,,,noun,
1454,feel itchy,mirriji,,,,intransitive,
1455,nullanulla,mirru,,,,noun,
1456,meaning not known, =mu,,,,cli,
1457,"grind, sharpen",mubi,,,,transitive,
1458,"hold, get, grasp, catch",muga,,,,transitive,
1459,catch ... by means of ... ,mugari,,,,transitive,
1460,fishing net,mugarru,,,,noun,
1461,water lilly,mugaru,,,,noun,
1462,grasp eachother/ one another,mugawa,,,,in,
1463,fresh water black bream,mugil,,,,noun,
1464,place on stone river,mugilmila,,,,noun,
1465,elder brother,mugina,,,,noun,
1466,"(1) shin bone, (2) fish bone",mugu,,,,noun,
1467,hail storm,mugunduru,,,,noun,
1468,lily root,muguray,,,,n.I,
1469,quiet,mugurru,,,,adjective,
1470,term by which to refer to a dead wife in avoidence of her name,muguynggun,,,,noun,
1471,"(1) sister-in-law ( wife of younger or elder brother (2) brother-in-law, cousin",muguyu,,,,noun,
1472,eat,muja,,,,transitive,
1473,be/become soft,mujalabi,,,,intransitive,
1474,"eat repeatedly (today, tomorrow, the day after, etc.) have a good feed",mujamuja,,,,transitive,
1475,eat... by means of ...,mujari,,,,transitive,
1476,eat echother/ one another,mujawa,,,,intransitive,
1477,semen,muji,,,,noun,
1478,place (on herbert river or in oak hills country?),muju,,,,noun,
1479,"(1) crab, (2) coldwater station ( near abergowrie)",mujugara,,,,noun,
1480,big locust ( found around mount garnet),mujuru,,,,noun,
1481,blunt,mulan,,,,adjective,
1482,blind,mulga,,,,adjective,
1483,"(1) shadow, (2) spirit (of a human, animal, etc.)",mulgal,,,,noun,
1484,"brave, not frightened, bold",mulgarra,,,,adjective,
1485,be/become brave,mulgarrabi,,,,intransitive,
1486,make [someone] brave,mulgarranga,,,,transitive,
1487,squqtter pigeon,mulgungurru,,,,noun,
1488,big heap,mulgurra,,,,noun,
1489,be/become big heap,mulgurrabi,,,,intransitive,
1490,blunt,mulnbiny,,,,adjective,
1491,hip (biri?),mulu,,,,noun,
1492,one end (of net),muluguman,,,,noun,
1493,"spine of a porcupine, spear made of a porcupine spine",mulurr,,,,noun,
1494,hat,mun.ga,,,,noun,
1495,thick,mundal,,,,adjective,
1496,a bushy country on herbert river near chashmere,mundul,,,,noun,
1497,"place on herbert river, where wild yams grow (its locative suff is irregular mundun-da)",mundur,,,,noun,
1498,badly wants to ...,munduyi or munduy,,,,adjective,
1499,"hill, mountain",mungan,,,,noun,
1500,"many hills, many mountains",mungan.gabun.gabun,,,,noun,
1501,go up to a mountain,mugan.gubi,,,,intransitive,
1502,"many, plenty of",mungarrnbara,,,,adjective,
1503,sound.,mungga,,,,noun,
1504,startle,mungganga,,,,transitive,
1505,people of the north (farther north than ganyjubarra),mungganyu,,,,noun,
1506,(loc: mungguma-ja) place on herbert river,munggumay,,,,n.I,
1507,weak,munjal or munyjal,,,,adjective,
1508,"painful, sore",munjur,,,,adjective,
1509,feel sore,munjurbi,,,,adjective,
1510,tobacco,munyi,,,,noun,
1511,without weapon,munyju,,,,adjective,
1512,wild taru,munyu,,,,noun,
1513,bat,munyunmunyun,,,,noun,
1514,"evening star, morning star",murgalnggan,,,,noun,
1515,an old fighting ground which used to exit on murray river,murgul,,,,noun,
1516,"tight, hard, quiet",muri,,,,adjective,
1517,"scrub wallaby (red, of smaller type). cf. bunggil",murjila,,,,noun,
1518,"mean, greedy",murimuri,,,,adjective,
1519,"keep, hold in a greedy way",muringa,,,,transitive,
1520,baby ghost,murinya,,,,noun,
1521,place name ,murngunjila,,,,noun,
1522,illness.  sick.  ill,murran,,,,"noun, adjective",
1523,become sick,murranbi,,,,intransitive,
1524,"ill, sick",murranji,,,,adjective,
1525,make [someone] sick,murrannga,,,,transitive,
1526,head hair,murray,,,,noun,
1527,string,murrgurr,,,,noun,
1528,ashamed,murrin,,,,adjective,
1529,water rat,murrngunjal or murrngunyjal,,,,noun,
1530,"bushy country on herbert river area, in wairuna country",murrulnbun,,,,noun,
1531,white chalk,muwanyjina,,,,noun,
1532,place on stone river,muyamuya,,,,noun,
1533,stone tomahawk,muyin,,,,noun,
1534,sour bitter (of taste),muymur,,,,adjective,
1535,"boy about 15,16 ... years old ( muyngga 'cicatrices-tribal mark')",muynggayi,,,,noun,
1536,king fisher,muyun,,,,noun,
1537,meaning unknown, =na,,,,cli,
1538,shake,nalngi,,,,transitive,
1539,the way a baby cries,ngaangaa,,,,interj,
1540,"place on herbert river, a bushy country",ngaara,,,,noun,
1541,"bathe, 'bogey', (2) soak",ngaba,,,,intransitive,
1542,"mouthful', full (of love)",ngabulngabul,,,,adverb,
1543,"(1) burdekin plum, (2) place on herbert river, where there arre many plum tree",naguba,,,,noun,
1544,"daughter son, mothers father",ngaji,,,,noun,
1545,"all my ngaji, lots of ngaji",ngajiguway,,,,noun,
1546,wait [for someone],ngajirri,,,,intransitive,
1547,many or each ones ngaji,ngajiwarray,,,,n.II,
1548,"place next to binggil, close to ravenshoe",ngaju,,,,noun,
1549,quick. CF. ngarrban,ngalban cf. ngarrban,,,,adjective,
1550,we two,ngali,,,,pronoun,
1551,singe,ngalma,,,,transitive,
1552,countrymen (people who come from the same place),ngalmangalma,,,,noun,
1553,be kind [to someone],ngalmirri,,,,intransitive,
