,,,,,,,,
e,Translation,Pronunciation,Description,Category,Word type,Image,Audio,Widget
short,jalbu,,,,adjective,,,
(jalnguy) short,jalbujala,,,,adjective,,,
meat,jalgur,,,,noun,,,
bushy area in wairuna country,jalguwuru,,,,noun,,,
"fighting stick, big yam stick ",jalinbirri,,,,noun,,,
son,jalmay,,,,noun,,,
greedy,jalmin,,,,adjective,,,
"(1) red, (2) yellow?. (noun) half-caste",jalngarri,,,,adjective,,,
become red (e.g. of eyes with anger),jalngarribi,,,,intransitive,,,
cameron hill,jalnggiyiir,,,,noun,,,
grub in gum tree (different from gaban),jalnggunmu,,,,noun,,,
talk in jalnguy),jalngunyjibi,,,,intransitive,,,
(com: jalnguny-ji ) avoidance style of speech,jalnguy,,,,n.II,,,
talk in jalnguy),jalnguybi,,,,intransitive,,,
cashmere (where alf palmer was brought up),jalnyjanbara,,,,noun,,,
tiger mountain,jalugan,,,,noun,,,
tiger mountain ,jaluganji,,,,noun,,,
short speear,jalun,,,,noun,,,
web,jamar,,,,noun,,,
spider web,jamara,,,,noun,,,
"cover up, block up (e.g. windpipe)",jamba,,,,transitive,,,
any snake,jambal,,,,noun,,,
dew,jambar,,,,noun,,,
(jalnguy) dew,jambara,,,,noun,,,
"fighting stick, killing stick, nullanulla",jambarra,,,,noun,,,
woman about 40 or 50 years old,jambi,,,,noun,,,
"old woman about 80 years old, old woman of long ago as old as gan.gaymu",jambiba,,,,noun,,,
fat,jambibaya,,,,adjective,,,
"(1) witchetty grub, big, edible, lives in dood in scrub, (2) a grub in a stage of its growth in which it is a grown up. CF. wirr, gumbala",jambun,,,,noun,,,
fat,jami,,,,noun,,,
fat,jamibara,,,,adjective,,,
be/become fat,jamibayabi,,,,intransitive,,,
bushy country on herbert river,jamiljamil,,,,noun,,,
"just, with no reason or purpose ",jamu,,,,adverb,,,
emphasis ??, =jan,,,,cli,,,
they three or more,jana,,,,pronoun,,,
"(1) stand (up), stay, wait, (2) be open (of mouth, etc.)",jana,,,,intransitive,,,
stand about,jananda,,,,intransitive,,,
stand about (with a plural subject),janara,,,,intransitive,,,
"stand up, look after, mind, keep",janari,,,,transitive,,,
stand up ,janaya,,,,intransitive,,,
wade [a river or the sea],janda,,,,intransitive,,,
wade??,jandaya,,,,intransitive,,,
"slow, slowly",jan.ga,,,,adjective,,,
"(jalnguy) (1) tail, (2) (big, dead) jumbi (penis)",jan.gabara,,,,noun,,,
honey comb (wax with honey inside),jangal,,,,noun,,,
name of a song,jangala,,,,noun,,,
small,jangara,,,,adjective,,,
small (e.g. child),jangaragu,,,,adjective,,,
be/become small,jangaragubi,,,,intransitive,,,
small woman,jangaragun,,,,noun,,,
make small,jangaragunga,,,,transitive,,,
stranger,janggal,,,,noun,,,
"(1) half, from 1/2 to 3/4, (2) short bloke",janu,,,,noun,,,
another half ,januguman,,,,noun,,,
(jalnguy) short,janujala,,,,adjective,,,
make short ,janujalanga,,,,transitive,,,
cut into halves or quarters,janunga,,,,transitive,,,
wake up (someone by touching him/her in order to inform him/her of somthing),janyi,,,,transitive,,,
grass basket,janyju,,,,noun,,,
frost (or froth?),jara,,,,noun,,,
be or become froth,jarabi,,,,intransitive,,,
"(song word, jalnguy ?) bed for carrying a dead body",jararra,,,,noun,,,
(1) fresh water dew fish (2) catfish,jarban,,,,noun,,,
"put [somthing] in, plant [tree], (2) vi.1 go in/ enter",jarga,,,,transitive,,,
take in,jargamba,,,,transitive,,,
I(instumental verb) put... in... ,jargari,,,,transitive,,,
(not reciprocal) go in,jargawa,,,,intransitive,,,
wommera,jarila,,,,noun,,,
(1) wommera (2) adams apple,jarin,,,,noun,,,
"thigh, upper leg",jarra,,,,noun,,,
"(not warrungu, but jirrbal) stand up (a fence)",jarra,,,,transitive,,,
crippled,jarra-ngamba,,,,adjective,,,
leg dance (dance where the dancer moves his feet very fast),jarra-nyamba,,,,intransitive,,,
feel better,jarrabiribi,,,,intransitive,,,
go closer,jarrabirribi,,,,intransitive,,,
two (suffix), -jarran,,,,derivational suffix,,,
stranger (not warrungu),jarrany,,,,noun,,,
"good, well, pretty, smart, straight (of marriage)",jarribara,,,,adjective,,,
"be/become well, good, get well, be good (to someone)",jarribarabi,,,,intransitive,,,
"make good, fix up, do in a good way, be nice to [someone in the accusative]",jarribaranga,,,,transitive,,,
wommera,jarrin or jarin,,,,noun,,,
(not warrungu) egg of a scrub turkey) ,jarrugan,,,,noun,,,
trousers,jarruja,,,,noun,,,
"mouth, lip",jawa,,,,noun,,,
vomit,jawa,,,,intransitive,,,
round up (with a net),jawa,,,,transitive,,,
"(erg: jawulany-ju) (jalnguy?) two, sisters, they-two",jawulay,,,,n.II,,,
(not warrungu but costal) middle-sized dilly bag,jawun,,,,noun,,,
"(erg:jawu-ju) (also class 11, loc: jawunyja??) hot",jawuy,,,,adjective,,,
be/become hot,jawuybi,,,,intransitive,,,
make hot,jawuynga,,,,transitive,,,
horse,jayari,,,,noun,,,
hunt [a person] away,jayga,,,,transitive,,,
find,jaymba,,,,transitive,,,
"last one, outside one",jaymbal,,,,noun,,,
(reciprocal) meet eachother/ one another,jaymbawa,,,,transitive,,,
to/toward the person(s) concerned ??,jaymbay,,,,adverb,,,
come closer to the speaker ?),jaymbaybi,,,,intransitive,,,
give or send (to the sender),jaymbaynga,,,,intransitive,,,
to you,jaybayngal,,,,adverb,,,
have sexual intercourse with [someone],jaynyja,,,,transitive,,,
someone who like to have or habitually has intercourse ,jaynyjalmunga,,,,noun,,,
(instumental verb)have intercourse with ... in return for... ,jaynyjari,,,,transitive,,,
(reciprocal) have intercourse with each other,jaynyjawa,,,,intransitive,,,
,,,,,,,,
,JI,,,,,,,
"liver, lung",jiba,,,,noun,,,
womb,jibanjiban,,,,noun,,,
bald,jibara,,,,adjective,,,
in the morning,jidada,,,,adverb,,,
it become morning (with a human subject),jidadabi,,,,intransitive,,,
the next morning (in the past),jidadaguman,,,,noun,,,
morning,jidal,,,,noun,,,
it become morning (with a human subject),jidalgubi,,,,intransitive,,,
jew fish,jidawulu,,,,noun,,,
"grey hawk, kite hawk",jidi,,,,noun,,,
"torch, yellow tree in the scrub use for torch",jidu,,,,noun,,,
(1) willy wag wail) (type of bird) (2) place on upper herbert river,jigirrjigirr,,,,noun,,,
shooting star,jigubina,,,,noun,,,
"to be/become a shooting star, describing a man who is getting married",jigubinabi,,,,intransitive,,,
place not far from bungurrji,jigurru,,,,noun,,,
native cat,jiguy,,,,noun,,,
wax,jija,,,,noun,,,
tommy round head (type of lizar),jijan,,,,noun,,,
sore,jiji,,,,noun,,,
poke' [a woman],jijimarrga,,,,transitive,,,
little bird like a king fisher or a jackass ,jijuluruy,,,,noun,,,
fig tree,jilanggu,,,,noun,,,
(acc: jilanggu-nya) woman' name (in myth),jilanggu,,,,noun,,,
knowing,jilbajiba,,,,adjective,,,
erg: jilba-ju?) knowing,jilbay,,,,adjective,,,
knowing very well,jilbaybara,,,,"noun, adjective",,,
"know, get to know, learn",jilbaybi,,,,intransitive,,,
"make [someone] knowing, teach, inform",jilbaynga,,,,transitive,,,
eye,jili,,,,noun,,,
look at',jili guyba,,,,transitive,,,
"(1) show, teach, (2)look over, look up",jili-ngungbaynga,,,,transitive,,,
be awake',jili nyina,,,,intransitive,,,
be awake',jili wuna,,,,intransitive,,,
"open eyes, wake up",jilibi,,,,intransitive,,,
charcoal,jilin,,,,noun,,,
become charcoal ,jilinbi,,,,intransitive,,,
whistler duck (black one),jiljilbarra,,,,noun,,,
"cramp, numbness)",jilmal,,,,noun,,,
have a cramp or numbness,jilmaljilmalbi,,,,intransitive,,,
"throw, water",jilngga,,,,transitive,,,
kick,jilwa,,,,transitive,,,
kick eachother/ one another,jilwawa,,,,intransitive,,,
"fire stick, a type of tree used for fire stick",jiman,,,,noun,,,
throwing stick,jimbaru,,,,noun,,,
fighting stick or club with a round head,jimijimi,,,,noun,,,
"mark (on a message stick), letter",jin.gurr,,,,noun,,,
"foot print or track one the ground or sand (but not grass, cf. bulgar)",jina,,,,noun,,,
man's name (one of alf palmers sons: morris palmer),jinabarru,,,,noun,,,
footwear,jinaman,,,,noun,,,
"cramp, numbness)",jinambarra,,,,noun,,,
(big) root,jinarri,,,,noun,,,
(erg: jinbilnggany-ju) alf palmers name,jinbilnggay,,,,n.II,,,
place on herbert river near cashmere,jindarigan,,,,noun,,,
"breast (a woman's breast, also a mans breast)",jindi,,,,noun,,,
"punch (with fist, with a stone)",jingga,,,,transitive,,,
(instumentalverb) hit... with...,jinggari,,,,transitive,,,
punch each other one another,jinggawa,,,,intransitive,,,
"body hair, fur",jinggu,,,,noun,,,
"hairy being( of human beings, dogs, etc.)",jinggurrgal,,,,noun,,,
"snore, sneeze (generally used with the comitative suffix: jingurra-yi)",jingurra,,,,noun,,,
"snore, sneeze  ",jingurrajingurrabi,,,,intransitive,,,
"sneeze, snore",jingurrayijingurrayibi,,,,intransitive,,,
place on herbert river near ravenshoe,jinji,,,,noun,,,
chip,jinma,,,,transitive,,,
semen,jirga,,,,noun,,,
quail (type of bird),jiribi,,,,noun,,,
a language/ tribe northwest or warrungu,jirrbal,,,,noun,,,
tail (of fish only),jirri,,,,noun,,,
butcher bird,jirrijinduru,,,,noun,,,
pubic hair,jirril ,,,,noun,,,
namesake,jirrwi,,,,noun,,,
pubic hair (= jirril,jiwurral,,,,noun,,,
mountain oak,jiwurru,,,,noun,,,
,,,,,,,,
,JU,,,,,,,
back part of a spear,Juba,,,,noun,,,
"rub, wipe, stroke, chafe",jubi,,,,transitive,,,
(instumental verb) rub... with... ,jubiri,,,,transitive,,,
penis (only in erection),jubul,,,,noun,,,
wild flour' on a black pine,jubula,,,,noun,,,
"big-sized dilly-bag (cf. jimay, jawun)",juda,,,,noun,,,
a bushy country on herbert river,judajuda,,,,noun,,,
type of frog (jumps alot),judi,,,,noun,,,
place on herbert river near herberton in the scrub,judirri,,,,noun,,,
smoke,juga,,,,noun,,,
grow up (vi.1 / Vt.1),juga,,,,intransitive,,,
dip (a billy can int the water to get water),juga,,,,transitive,,,
big cloud,jugabaya,,,,noun,,,
a place a couple mile away from cashmere,jugaburra,,,,noun,,,
stright (e.g. road),jugal,,,,adjective,,,
grow up (vi.1 / Vt.1),jugalbi,,,,intransitive,,,
grow up (vi.1 / Vt.1),jugali,,,,intransitive,,,
point a finger at [someone],jugalmba,,,,transitive,,,
grow up   ,jugamba,,,,transitive,,,
make smoke or make smoky ,juganga,,,,transitive,,,
meaning uncertain ,jugulabi,,,,intransitive,,,
"make.. rustle, double up",jugulanga,,,,transitive,,,
locust (big one or middle-sized one,jujam,,,,noun,,,
water (not warrungu?),jujamu,,,,noun,,,
urine,jujarr,,,,noun,,,
urine,jujarra,,,,noun,,,
wet with urine all over,jujarrabarri,,,,adjective,,,
meaning unknown,jujirri,,,,adverb,,,
navel,jujur,,,,noun,,,
be drowned,jujurra,,,,intransitive,,,
be drowned,jujurri,,,,intransitive,,,
belly full (com suff (yi),jujuyi,,,,adjective,,,
scrub possum,jula,,,,noun,,,
"stick, firewood, small tree",jula,,,,noun,,,
crayfish (not warrungu),jularr,,,,noun,,,
tree,julay,,,,n.II,,,
one tree plain (place on herbert river),julaynyun.gul,,,,noun,,,
jump,julba,,,,intransitive,,,
bury,julbamba,,,,transitive,,,
bury,julbanga,,,,transitive,,,
a bushy country on herbert river above chashmere,julbiri,,,,noun,,,
with no skin (e.g. cooked animal),julbiriny,,,,adjective,,,
peel the skin of [an animal],julbirinyna,,,,transitive,,,
married person (maler or female),julbun,,,,noun,,,
a woman who has run away from her husband,julbun.gan,,,,noun,,,
a woman who has run away from her husband,julbun.ganji,,,,noun,,,
get married ,julbunbi,,,,intransitive,,,
two married men (also women),julbunjarran,,,,noun,,,
married people (women as well),julbunjulbun,,,,noun,,,
marry (i.e. make someone marry?),julbunnga,,,,transitive,,,
beckon (by hand),julga,,,,transitive,,,
"type of small, white shell in the sea ",julgay,,,,noun,,,
scrub,julgi,,,,noun,,,
person(s) in or from the scrub (e.g. babinda),julgibarra,,,,noun,,,
be/ become scrub,julgibi,,,,intransitive,,,
"(1) seed, (2) (jalnguy?) any bone",julgil,,,,noun,,,
scrub,julgimara,,,,noun,,,
go into a scrub ,julgiwubi,,,,intransitive,,,
squeeze,julma,,,,transitive,,,
sleepy lizard (type of lizard),julmbaji,,,,noun,,,
slippery,julmin,,,,adjective,,,
(jalnguy?) look at,julnyju,,,,transitive,,,
look at eachother/ one another,julnyjuwa,,,,intransitive,,,
"hip, buttocks",julu,,,,noun,,,
womans name (one of alf palmers's granddaughter),julubu,,,,noun,,,
with the penis in the woman's private parts,julurr,,,,"noun, adverb",,,
wommera,jumala,,,,noun,,,
touch,jumba,,,,transitive,,,
(1) penis (2) tail,jumbi,,,,noun,,,
woman who is dying for jumbi,jumbijala,,,,noun,,,
lucky,jumburu,,,,adjective,,,
"(1) cattle, bullock, (2) beef ",jumuburu,,,,noun,,,
narrow,jun.gal,,,,adjective,,,
make narrow,jun.galnga,,,,transitive,,,
tail (warrgamay),jun.girin,,,,noun,,,
tendon,jun.guy,,,,n.II,,,
jealousy,junda,,,,noun,,,
kiss,junda,,,,transitive,,,
(instrumental verb) kiss ... by means of ...,jundari,,,,transitive,,,
kiss eachother/ one another,jundawa,,,,intransitive,,,
pademelon (has brushy tail),jundul,,,,noun,,,
shirt,jungguja,,,,noun,,,
fresh water flathead,junggurra ,,,,noun,,,
smell,jungu,,,,noun,,,
place name,junji,,,,noun,,,
"a bone fromm a kangaroo leg, used to decorate the human nose ",junju,,,,noun,,,
squeeze. CF. julma,junma,,,,transitive,,,
lust,junu,,,,noun,,,
make [someone] lustful ,jununga,,,,transitive,,,
black (warrgamay?),junyja,,,,adjective,,,
"alive (not dead) well, safe",jura,,,,adjective,,,
white pus from a sore or wound,jura,,,,noun,,,
"be/become alive, come to life (again)",jurabi,,,,intransitive,,,
cure,juramba,,,,transitive,,,
cure,juranga,,,,transitive,,,
"(1) white ochre, clay or paint, (2) yellow ochre, clay paint",jurba,,,,noun,,,
dodge,jurba,,,,intransitive,,,
nearly white (of paint),jurbagaji,,,,adjective,,,
make white,jurbanga,,,,transitive,,,
"short one, (shorter then janujala)",jurbay,,,,noun,,,
elder sister,jurgana,,,,noun,,,
"bamboo (small), bamboo peg for the nose (for decoration)",jurgu,,,,noun,,,
bower bird ,jurirrbarra,,,,noun,,,
cloud,jurra,,,,noun,,,
"rub, wipe, wipe off, wash off",jurra,,,,transitive,,,
"a cattle station in niagara (?) district, sext to abergowrie",jurragay,,,,n.i ,,,
cloudy,jurrajurra,,,,adjective,,,
knife,jurrbil,,,,noun,,,
alongside. ? also n side ?,jurri,,,,adverb,,,
"(1) ridge (on a mountain), (2) upper arm, shoulder",jurru,,,,noun,,,
sugar bag bee (lives in scrub),jurrugan,,,,noun,,,
"locust in the scrub, of big type",juwaljuwal,,,,noun,,,
nephew; son (from the veiwpoint of the mother),juwana,,,,noun,,,
all my juwana,juwanaguway,,,,noun,,,
brother-in-law,juway,,,,noun,,,
term by which brothers-in-law call eachother/on another,juwaynggurru,,,,noun,,,
stright (e.g. road),juygul,,,,adverb,,,
be stright,guyguli,,,,intransitive,,,
marrow,juyi,,,,noun,,,
suck,juyja,,,,transitive,,,
crawl,juyma,,,,intransitive,,,
"slip, crawl (like a snake)",juyura,,,,intransitive,,,
,,,,,,,,
,MA,,,,,,,
milky pine ,maba,,,,noun,,,
tree kangaroo,mabi,,,,noun,,,
young or good-looking girl,maburra,,,,noun,,,
mouse (Girramay?),maga,,,,noun,,,
"false, not true, dishonest",magan,,,,adjective,,,
"tell a lie, pretend",maganbi,,,,intransitive,,,
"tell a lie, pretend",magannga,,,,transtive,,,
small scrub,magarra,,,,noun,,,
"(1) mountain oak (long, found on the hill, e.g. on atherton tableland), rosewood (of bright colour), (2) the name of a mountain in the tully area",magin,,,,noun,,,
mountain oak,maginbara,,,,noun,,,
person(s) of magin,maginbarra,,,,noun,,,
"red ochre, red paint, yellow ochre",magirra ,,,,noun,,,
work,magul,,,,noun,,,
work,maguli,,,,intransitive,,,
"big carpet snake, bigger the gabul, as long as 15 feet",maguy,,,,noun,,,
suck,maja,,,,transtive,,,
"bee wax,honey comb",majagal,,,,noun,,,
"corck apple tree, poison from its bark",majal,,,,noun,,,
slow,majay,,,,adverb,,,
cattle staion on Mt. fox range (stoney Hill ?) ,majibayan,,,,noun,,,
quiet (person),majun,,,,"noun, adjective",,,
friend,majuwarrgi,,,,noun,,,
be/ become friend,majuwarrgibi,,,,intransitive,,,
box wood (gum top box),malabara,,,,noun,,,
bangle around the upper arm,malambal,,,,noun,,,
"(1) creek (little one), (2) rivergum (which grows by the creek)",malan,,,,noun,,,
arrive at or go into a creek,malan.gubi,,,,intransitive,,,
"(1) creek (little one), (2) rivergum (big), (3) right hand ",malanbarra,,,,noun,,,
name of a dance,malba,,,,noun,,,
"stick, be stuck",malga,,,,intransitive,,,
name of a song,malgarri,,,,noun,,,
be/become flat,maljarabi,,,,intransitive,,,
swallow,mamba,,,,transtive,,,
"back, back bone",mambu,,,,noun,,,
with a sore back,mambuyi,,,,adjective,,,
stone fish-trap,mamu,,,,noun,,,
language east of jirrbal,mamu,,,,noun,,,
mouth piece (which aboriginal people use to hold in their mouth while fighting),mamun,,,,noun,,,
"make a mouth piece , change [something] into a mouth piece",mamunnga,,,,transtive,,,
an arm ring which a man who has gone through first stage initiation wears ,man.gurru,,,,noun,,,
mangrove (costal language?),man.gurru,,,,noun,,,
a place in warrgamay country (its warrungu name),mandagiri,,,,noun,,,
the warrgamay name of mandagiri (bush country on herbert river in wairuna (?) area),mandagirr,,,,noun,,,
nothing,mandalbara,,,,noun,,,
grub in its early stage of growth (it then becomes wirru),mandija,,,,noun,,,
tooth ache,mandija,,,,noun,,,
hand or thumb (jalnguy?),mandila,,,,noun,,,
"young female kangaroo, young kangaroo (both male and female)",mangara,,,,noun,,,
"(1) flower, (2) poision extracted from fuit of a typee of tree",mangga,,,,noun,,,
place on herbert river (near stone river),manggala,,,,noun,,,
having flower,manggayi,,,,adjective,,,
have flowers (of tree),manggayibi,,,,intransitive,,,
"sheep, nanny goat (because they look like 'manggi' (monkey)",manggimanggi,,,,noun,,,
"arm, lower arm, area around the shoulder",manggu,,,,noun,,,
"flying squirrel, big one",manggurru,,,,noun,,,
send ,manja,,,,transtive,,,
deep,manjala or manyjala,,,,adjective,,,
"neck, throat, windpipe",manu,,,,noun,,,
"(1) (vegetable) food, fruit, (2) type of poison used for fishing, (3) string",manyja,,,,noun,,,
"satisfied with food, having food",manyjayi,,,,adjective,,,
hand.,mara,,,,noun,,,
(clap hands) 'hand' + 'hit' = clap hands,mara balga,,,,transtive,,,
shake hands,mara muga-wa,,,,transtive,,,
adopt [someone] as a step child,mara-gagalnga,,,,transtive,,,
all the people,maragaru,,,,noun,,,
"with nothing in the hand, not carrying anything",mara=gul,,,,adverb,,,
"(1) with nothing in the hand, not carrying anything (2)by onesself, on ones own",mara=guli,,,,adverb,,,
"the next day, tomorrow ",maraguli,,,,adverb,,,
a couple of days ago,maragumand-da,,,,adverb,,,
lazy person,maraguna,,,,noun,,,
for three weeks greedy person,maragurrbara,,,,adverb,,,
greedy person,marajalan,,,,noun,,,
hunting man,maraminya,,,,noun,,,
"(person who is) very swift when fighting, etc., very good at fighting",maraganyi,,,,"noun, adjective",,,
"head man of a tribe, cheif, leader (ngarra 'high, up')",marangarra,,,,noun,,,
scropion,marayigarra,,,,noun,,,
house fly ,marbal,,,,noun,,,
"(1) louse, (2) a bushy country on herbert river",marbu,,,,noun,,,
brother-in-law,marga,,,,noun,,,
dew,marga,,,,noun,,,
daughter-in-law,margayan,,,,noun,,,
aboriginal man,mari,,,,noun,,,
wet,marinya,,,,adjective,,,
get wet,marinyabi,,,,intransitive,,,
make wet,marinyanga,,,,transtive,,,
"(Jirrbal, Girramay, Warrgamay) leaf",marra,,,,noun,,,
vine poison,marra,,,,noun,,,
"tell a lie, pretend",marra,,,,transtive,,,
place on top os seaview range (or on top of seaview range (or on herbert river?),marrajabarra,,,,noun,,,
tell  ,marrali,,,,intransitive,,,
stringy bark,marranu,,,,noun,,,
tell eachother/ one another,marrawa,,,,intransitive,,,
thin,marrga,,,,adjective,,,
a slow leg dance,marrga,,,,noun,,,
hurt,marrga,,,,transtive,,,
many,marrgabala,,,,adjective,,,
clean,marral,,,,adjective,,,
make clean,marrgalnga,,,,transtive,,,
young man with no tribal on the belly (too young to marry),marrgara,,,,noun,,,
thin,marrgi,,,,adjective,,,
gun,marrgin,,,,noun,,,
"place on murry river, place on herbert river (near cashmere?)",marrigal,,,,noun,,,
sore,marrnyja,,,,noun,,,
"get hurt, hurt oneself",marrnyjabi,,,,intransitive,,,
hurt,marrnyjanga,,,,transtive,,,
fresh water shrimp,mawa,,,,noun,,,
tell,mayga,,,,transtive,,,
tell by means of ... ,maygari,,,,intransitive,,,
tell eachother/ one another,maygawa,,,,intransitive,,,
cut (e.g. wood),mayiga,,,,transtive,,,
never make a mistake,mayiwanga,,,,transtive,,,
lighting,mayjala,,,,noun,,,
rainbow,maynggi,,,,noun,,,
dirty one (such as buttock or penis,maynyal,,,,noun,,,
head band,maynyjaru,,,,noun,,,
belt madeof kangaroo skin,mayurru,,,,noun,,,
,,,,,,,,
,MI,,,,,,,
white man,migulu,,,,noun,,,
white woman,mijiji,,,,noun,,,
fiancee promised by father-in-law or by mother-in-law,mijirray,,,,noun,,,
promise,mijirraynga,,,,transitive,,,
brain,miju,,,,noun,,,
quick,milmurru,,,,adjective,,,
do quickly (e.g. dance) ,milmurrubi,,,,intransitive,,,
oyster,miluy,,,,noun,,,
be/become weak,mindabi,,,,intransitive,,,
"round, grass dilly-bag",mindi,,,,noun,,,
(jalnguy?) carpet snake,mindurru,,,,noun,,,
female private parts ,minga,,,,noun,,,
meat,minya,,,,noun,,,
"lord in the sky, god",minyjiral,,,,noun,,,
"manure, fertilizer",minyuwa,,,,noun,,,
"be made, form into [something], be born",mirabi,,,,intransitive,,,
"(1) swift, (2) swiftly",miramira,,,,"adjective, adverb",,,
move swiftly,miramirabi,,,,intransitive,,,
make,miranga,,,,transitive,,,
"steep hill, bank, cliff, side (of a mountain), etc)",mirgan,,,,noun,,,
"hilly, steep",mirganmirgan,,,,adjective,,,
front part of body lap,mirra,,,,noun,,,
feel itchy,mirriji,,,,intransitive,,,
nullanulla,mirru,,,,noun,,,
,,,,,,,,
,MU,,,,,,,
meaning not known, =mu,,,,cli,,,
"grind, sharpen",mubi,,,,transitive,,,
"hold, get, grasp, catch",muga,,,,transitive,,,
catch ... by means of ... ,mugari,,,,transitive,,,
fishing net,mugarru,,,,noun,,,
water lilly,mugaru,,,,noun,,,
grasp eachother/ one another,mugawa,,,,in,,,
fresh water black bream,mugil,,,,noun,,,
place on stone river,mugilmila,,,,noun,,,
elder brother,mugina,,,,noun,,,
"(1) shin bone, (2) fish bone",mugu,,,,noun,,,
hail storm,mugunduru,,,,noun,,,
lily root,muguray,,,,n.I,,,
quiet,mugurru,,,,adjective,,,
term by which to refer to a dead wife in avoidence of her name,muguynggun,,,,noun,,,
"(1) sister-in-law ( wife of younger or elder brother (2) brother-in-law, cousin",muguyu,,,,noun,,,
eat,muja,,,,transitive,,,
be/become soft,mujalabi,,,,intransitive,,,
"eat repeatedly (today, tomorrow, the day after, etc.) have a good feed",mujamuja,,,,transitive,,,
eat... by means of ...,mujari,,,,transitive,,,
eat echother/ one another,mujawa,,,,intransitive,,,
semen,muji,,,,noun,,,
place (on herbert river or in oak hills country?),muju,,,,noun,,,
"(1) crab, (2) coldwater station ( near abergowrie)",mujugara,,,,noun,,,
big locust ( found around mount garnet),mujuru,,,,noun,,,
blunt,mulan,,,,adjective,,,
blind,mulga,,,,adjective,,,
"(1) shadow, (2) spirit (of a human, animal, etc.)",mulgal,,,,noun,,,
"brave, not frightened, bold",mulgarra,,,,adjective,,,
be/become brave,mulgarrabi,,,,intransitive,,,
make [someone] brave,mulgarranga,,,,transitive,,,
squqtter pigeon,mulgungurru,,,,noun,,,
big heap,mulgurra,,,,noun,,,
be/become big heap,mulgurrabi,,,,intransitive,,,
blunt,mulnbiny,,,,adjective,,,
hip (biri?),mulu,,,,noun,,,
one end (of net),muluguman,,,,noun,,,
"spine of a porcupine, spear made of a porcupine spine",mulurr,,,,noun,,,
hat,mun.ga,,,,noun,,,
thick,mundal,,,,adjective,,,
a bushy country on herbert river near chashmere,mundul,,,,noun,,,
"place on herbert river, where wild yams grow (its locative suff is irregular mundun-da)",mundur,,,,noun,,,
badly wants to ...,munduyi or munduy,,,,adjective,,,
"hill, mountain",mungan,,,,noun,,,
"many hills, many mountains",mungan.gabun.gabun,,,,noun,,,
go up to a mountain,mugan.gubi,,,,intransitive,,,
"many, plenty of",mungarrnbara,,,,adjective,,,
sound.,mungga,,,,noun,,,
startle,mungganga,,,,transitive,,,
people of the north (farther north than ganyjubarra),mungganyu,,,,noun,,,
(loc: mungguma-ja) place on herbert river,munggumay,,,,n.I,,,
weak,munjal or munyjal,,,,adjective,,,
"painful, sore",munjur,,,,adjective,,,
feel sore,munjurbi,,,,adjective,,,
tobacco,munyi,,,,noun,,,
without weapon,munyju,,,,adjective,,,
wild taru,munyu,,,,noun,,,
bat,munyunmunyun,,,,noun,,,
"evening star, morning star",murgalnggan,,,,noun,,,
an old fighting ground which used to exit on murray river,murgul,,,,noun,,,
"tight, hard, quiet",muri,,,,adjective,,,
"scrub wallaby (red, of smaller type). cf. bunggil",murjila,,,,noun,,,
"mean, greedy",murimuri,,,,adjective,,,
"keep, hold in a greedy way",muringa,,,,transitive,,,
baby ghost,murinya,,,,noun,,,
place name ,murngunjila,,,,noun,,,
illness.  sick.  ill,murran,,,,"noun, adjective",,,
become sick,murranbi,,,,intransitive,,,
"ill, sick",murranji,,,,adjective,,,
make [someone] sick,murrannga,,,,transitive,,,
head hair,murray,,,,noun,,,
string,murrgurr,,,,noun,,,
ashamed,murrin,,,,adjective,,,
water rat,murrngunjal or murrngunyjal,,,,noun,,,
"bushy country on herbert river area, in wairuna country",murrulnbun,,,,noun,,,
white chalk,muwanyjina,,,,noun,,,
place on stone river,muyamuya,,,,noun,,,
stone tomahawk,muyin,,,,noun,,,
sour bitter (of taste),muymur,,,,adjective,,,
"boy about 15,16 ... years old ( muyngga 'cicatrices-tribal mark')",muynggayi,,,,noun,,,
king fisher,muyun,,,,noun,,,
,,,,,,,,
,NA,,,,,,,
meaning unknown, =na,,,,cli,,,
shake,nalngi,,,,transitive,,,
,,,,,,,,
,Nga,,,,,,,
the way a baby cries,ngaangaa,,,,interj,,,
"place on herbert river, a bushy country",ngaara,,,,noun,,,
"bathe, 'bogey', (2) soak",ngaba,,,,intransitive,,,
"mouthful', full (of love)",ngabulngabul,,,,adverb,,,
"(1) burdekin plum, (2) place on herbert river, where there arre many plum tree",naguba,,,,noun,,,
"daughter son, mothers father",ngaji,,,,noun,,,
"all my ngaji, lots of ngaji",ngajiguway,,,,noun,,,
wait [for someone],ngajirri,,,,intransitive,,,
many or each ones ngaji,ngajiwarray,,,,n.II,,,
"place next to binggil, close to ravenshoe",ngaju,,,,noun,,,
quick. CF. ngarrban,ngalban cf. ngarrban,,,,adjective,,,
we two,ngali,,,,pronoun,,,
singe,ngalma,,,,transitive,,,
countrymen (people who come from the same place),ngalmangalma,,,,noun,,,
be kind [to someone],ngalmirri,,,,intransitive,,,
dont' (prohibition),ngalnga,,,,adverb,,,
"it looks as if ..., but in fact it is not so.' (counterfactal)",ngalnga,,,,adverb,,,
"it looks as if ..., but in fact it is not so.' (counterfactal)",ngalnga=gaji ,,,,adverb,,,
"be kind [to someone], be not cruel [to someone]",ngalnyibi,,,,intransitive,,,
